Date,Price
2015-06-21,2.9
2015-06-28,2.8
2015-07-05,2.79
2015-07-12,2.75
2015-07-19,2.89
2015-07-26,2.88
2015-08-02,2.87
2015-08-09,2.79
2015-08-16,2.88
2015-08-23,2.75
2015-08-30,2.69
2015-09-06,2.69
2015-09-13,2.71
2015-09-20,2.7
2015-09-27,2.61
2015-10-04,2.49
2015-10-11,2.38
2015-10-18,2.48
2015-10-25,2.38
2015-11-01,2.12
2015-11-08,2.02
2015-11-15,2.11
2015-11-22,2.09
2015-11-29,2.15
2015-12-06,2.13
2015-12-13,1.96
2015-12-20,1.72
2015-12-27,1.68
2016-01-03,2.27
2016-01-10,2.38
2016-01-17,2.32
2016-01-24,2.2
2016-01-31,2.22
2016-02-07,2.11
2016-02-14,2.16
2016-02-21,1.94
2016-02-28,1.82
2016-03-06,1.57
2016-03-13,1.65
2016-03-20,1.79
2016-03-27,1.79
2016-04-03,1.86
2016-04-10,1.96
2016-04-17,1.9
2016-04-24,1.9
2016-05-01,1.92
2016-05-08,1.96
2016-05-15,2.0
2016-05-22,1.89
2016-05-29,1.84
2016-06-05,2.15
2016-06-12,2.36
2016-06-19,2.59
2016-06-26,2.75
2016-07-03,2.89
2016-07-10,2.82
2016-07-17,2.81
2016-07-24,2.8
2016-07-31,2.85
2016-08-07,2.88
2016-08-14,2.77
2016-08-21,2.74
2016-08-28,2.82
2016-09-04,2.94
2016-09-11,2.87
2016-09-18,3.02
2016-09-25,3.11
2016-10-02,3.01
2016-10-09,2.91
2016-10-16,3.17
2016-10-23,3.14
2016-10-30,2.72
2016-11-06,2.5
2016-11-13,2.22
2016-11-20,2.44
2016-11-27,2.76
2016-12-04,3.21
2016-12-11,3.68
2016-12-18,3.57
2016-12-25,3.51
2017-01-01,3.68
2017-01-08,3.47
2017-01-15,3.27
2017-01-22,3.29
2017-01-29,3.27
2017-02-05,3.13
2017-02-12,3.04
2017-02-19,2.87
2017-02-26,2.62
2017-03-05,2.52
2017-03-12,2.75
2017-03-19,2.95
2017-03-26,2.99
2017-04-02,3.03
2017-04-09,3.17
2017-04-16,3.05
2017-04-23,3.1
2017-04-30,3.09
2017-05-07,3.14
2017-05-14,3.12
2017-05-21,3.21
2017-05-28,3.18
2017-06-04,3.03
2017-06-11,2.98
2017-06-18,3.03
2017-06-25,2.89
2017-07-02,3.01
2017-07-09,2.95
2017-07-16,2.96
2017-07-23,3.09
2017-07-30,2.96
2017-08-06,2.8
2017-08-13,2.85
2017-08-20,2.95
2017-08-27,2.97
2017-09-03,2.93
2017-09-10,2.91
2017-09-17,2.96
2017-09-24,3.09
2017-10-01,2.96
2017-10-08,2.84
2017-10-15,2.92
2017-10-22,2.84
2017-10-29,2.91
2017-11-05,2.78
2017-11-12,3.12
2017-11-19,3.1
2017-11-26,3.05
2017-12-03,2.94
2017-12-10,2.84
2017-12-17,2.77
2017-12-24,2.69
2017-12-31,3.02
2018-01-07,5.71
2018-01-14,3.24
2018-01-21,4.12
2018-01-28,3.43
2018-02-04,3.3
2018-02-11,2.75
2018-02-18,2.54
2018-02-25,2.62
2018-03-04,2.64
2018-03-11,2.74
2018-03-18,2.71
2018-03-25,2.65
2018-04-01,2.67
2018-04-08,2.79
2018-04-15,2.78
2018-04-22,2.83
2018-04-29,2.8
2018-05-06,2.75
2018-05-13,2.76
2018-05-20,2.8
2018-05-27,2.84
2018-06-03,2.88
2018-06-10,2.92
2018-06-17,2.99
2018-06-24,2.99
2018-07-01,2.98
2018-07-08,2.9
2018-07-15,2.89
2018-07-22,2.78
2018-07-29,2.79
2018-08-05,2.8
2018-08-12,2.95
2018-08-19,3.0
2018-08-26,3.01
2018-09-02,2.97
2018-09-09,2.94
2018-09-16,2.93
2018-09-23,3.03
2018-09-30,3.06
2018-10-07,3.23
2018-10-14,3.3
2018-10-21,3.26
2018-10-28,3.32
2018-11-04,3.28
2018-11-11,3.58
2018-11-18,4.23
2018-11-25,4.67
2018-12-02,4.43
2018-12-09,4.49
2018-12-16,4.38
2018-12-23,3.73
2018-12-30,3.26
2019-01-06,2.92
2019-01-13,2.89
2019-01-20,3.5
2019-01-27,3.19
2019-02-03,2.9
2019-02-10,2.59
2019-02-17,2.66
2019-02-24,2.71
2019-03-03,2.91
2019-03-10,3.28
2019-03-17,2.89
2019-03-24,2.86
2019-03-31,2.71
2019-04-07,2.7
2019-04-14,2.72
2019-04-21,2.62
2019-04-28,2.56
2019-05-05,2.6
2019-05-12,2.6
2019-05-19,2.67
2019-05-26,2.66
2019-06-02,2.66
2019-06-09,2.45
2019-06-16,2.41
2019-06-23,2.4
2019-06-30,2.34
2019-07-07,2.31
2019-07-14,2.47
2019-07-21,2.44
2019-07-28,2.3
2019-08-04,2.24
2019-08-11,2.11
2019-08-18,2.21
2019-08-25,2.27
2019-09-01,2.28
2019-09-08,2.46
2019-09-15,2.64
2019-09-22,2.63
2019-09-29,2.52
2019-10-06,2.33
2019-10-13,2.26
2019-10-20,2.25
2019-10-27,2.25
2019-11-03,2.62
2019-11-10,2.81
2019-11-17,2.69
2019-11-24,2.58
2019-12-01,2.48
2019-12-08,2.37
2019-12-15,2.24
2019-12-22,2.28
2019-12-29,2.03
2020-01-05,2.06
2020-01-12,2.09
2020-01-19,2.06
2020-01-26,1.93
2020-02-02,1.95
2020-02-09,1.89
2020-02-16,1.9
2020-02-23,2.0
2020-03-01,1.87
2020-03-08,1.8
2020-03-15,1.88
2020-03-22,1.78
2020-03-29,1.73
2020-04-05,1.62
2020-04-12,1.77
2020-04-19,1.72
2020-04-26,1.85
2020-05-03,1.71
2020-05-10,1.84
2020-05-17,1.63
2020-05-24,1.78
2020-05-31,1.76
2020-06-07,1.7
2020-06-14,1.7
2020-06-21,1.52
